event_id,signal_date,source_sector,destination_sector,ticker,reference_peak,drawdown_date,lead_trading_days,hit_20pct,last_session_before_drawdown,source_sector_label,destination_sector_label
0,2016-07-27,biotech,semiconductor,4746,88.55813598632812,2016-10-20,58.0,True,2016-10-19,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1707,145.72677612304688,2017-01-03,110.0,True,2016-12-30,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,4721,29.27099609375,2016-10-13,53.0,True,2016-10-12,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1789,36.666996002197266,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,4736,77.37077331542969,2016-08-17,15.0,True,2016-08-16,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,4739,35.965579986572266,2016-11-09,72.0,True,2016-11-08,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1722,28.99606704711914,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1702,44.585105895996094,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,4743,35.07835388183594,2016-10-14,54.0,True,2016-10-13,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,4728,43.530487060546875,2016-10-12,52.0,True,2016-10-11,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1795,59.98994827270508,2016-11-07,70.0,True,2016-11-04,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,4745,40.796409606933594,2016-08-17,15.0,True,2016-08-16,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1733,35.099552154541016,2016-10-18,56.0,True,2016-10-17,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1723,74.36947631835938,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1721,15.509660720825195,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1717,22.388160705566406,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,4726,53.599998474121094,2016-08-08,8.0,True,2016-08-05,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1718,6.039176940917969,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,4735,20.510334014892578,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1711,17.05782699584961,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,4722,23.00180435180664,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1777,68.38645935058594,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,4763,4.924368381500244,,,False,,生技醫療,半導體
0,2016-07-27,biotech,semiconductor,1710,17.1356258392334,,,False,,生技醫療,半導體
