event_id,signal_date,source_sector,destination_sector,confirmation_days,source_score,destination_score,score_spread,source_score_change_5d,destination_score_change_5d,source_return_5d,destination_return_5d,source_return_20d,destination_return_20d,source_turnover_acceleration,destination_turnover_acceleration,source_breadth_above_20d,destination_breadth_above_20d,source_institutional_flow,destination_institutional_flow,average_correlation_20d,source_sector_label,destination_sector_label
0,2016-07-27,biotech,semiconductor,3,0.22142857142857145,0.95,0.7285714285714285,-0.20857142857142855,0.1271428571428571,-0.007368877136677665,0.008792557508052301,0.03536971800659794,0.07203392036766743,-0.10561520079880105,0.12129687633239494,0.5128205128205128,0.8144329896907216,0.012085845472495475,0.028745147803320745,0.6402067392792589,生技醫療,半導體
1,2016-07-28,shipping,semiconductor,3,0.24999999999999997,0.907142857142857,0.657142857142857,-0.16714285714285718,-0.024285714285714466,-0.007963294968944601,-0.0036495653373277426,0.01573311124537269,0.058139511855940684,-0.31179119258100146,0.027648228377972206,0.5714285714285714,0.8041237113402062,-0.010002356652811378,0.018091079226450407,0.6869475030362175,航運,半導體
2,2016-08-16,electronics,finance,3,0.34714285714285714,1.0,0.6528571428571428,-0.38714285714285707,0.06428571428571428,-0.01585648092155706,0.009091243962205509,-0.002438128227501002,0.033540229354193096,-0.13587542324827884,0.09259720790917547,0.4041095890410959,0.9523809523809523,-0.0013064637293007154,0.11377596806810887,0.604567952664896,電子零組件,金融
3,2016-10-19,electronics,finance,3,0.2257142857142857,0.9471428571428571,0.7214285714285713,-0.14285714285714285,0.15499999999999992,-0.01284510059596139,0.0,-0.03808509617460959,-0.003968412343217209,-0.1428834904836367,0.15817166757010637,0.1736111111111111,0.2857142857142857,-0.019256071855177328,0.022988791113755777,0.8129178571139667,電子零組件,金融
4,2016-11-15,semiconductor,shipping,3,0.27428571428571424,0.9357142857142857,0.6614285714285715,-0.14857142857142858,0.30285714285714294,-0.035420266560383606,0.029534214517221713,-0.05509934679009776,0.01079637605363426,0.22671209160192274,0.9776608338781494,0.14130434782608695,0.5,-0.0847007612810927,-0.03018819378888549,0.8627884960977911,半導體,航運
5,2016-12-09,shipping,electronics,3,0.1742857142857143,0.8557142857142856,0.6814285714285714,-0.2928571428571428,0.01571428571428568,-0.003671175672170346,0.02365331999646969,0.04108207277837228,0.07079649752645967,-0.40119394036081363,-0.014116187210704845,0.3333333333333333,0.8776978417266187,-0.046526616426338874,0.005184264004816811,-0.07607422606487955,航運,電子零組件
6,2017-01-10,traditional,semiconductor,3,0.33285714285714285,0.8457142857142858,0.5128571428571429,-0.20285714285714285,-0.07571428571428573,0.0027247037554349873,0.006456580299164849,0.0,0.019802698810460262,0.054960899148254194,0.13410814834286222,0.5774278215223098,0.6914893617021277,0.001821618052234872,0.016064206524513385,0.8095462632917724,傳產/其他,半導體
7,2017-01-18,biotech,shipping,3,0.2857142857142857,0.7842857142857143,0.49857142857142855,-0.29714285714285704,-0.09857142857142853,-0.00208341463530326,0.0012948566139651119,0.003144639835865881,0.0287413977018931,-0.20146970815002263,-0.09636238088562127,0.5714285714285714,0.85,0.007374024440382255,0.03174051044298543,0.7501728544042446,生技醫療,航運
8,2017-02-24,finance,shipping,3,0.3642857142857143,1.0,0.6357142857142857,-0.11714285714285705,0.0714285714285714,-0.0027175463154870405,0.02885228921430516,0.034440342512827016,0.11654831161600476,-0.1518607196234485,0.28653254016357776,0.88,0.8888888888888888,0.0226014746993554,0.07333246546935063,0.35628952709018624,金融,航運
9,2017-03-01,biotech,shipping,3,0.1742857142857143,1.0,0.8257142857142857,-0.39142857142857146,0.0714285714285714,-0.008737876512756593,0.009613784044286366,0.047936494749664105,0.10887568173625872,-0.21081494506480902,0.22444507408243164,0.6111111111111112,0.8333333333333334,-0.0011641164909952796,0.0699948889116691,0.5899761198813104,生技醫療,航運
10,2017-05-04,biotech,finance,3,0.35714285714285715,0.9242857142857143,0.5671428571428572,-0.09714285714285709,-0.0257142857142858,0.0010850989829713775,0.008468079094480885,-0.02769234437987711,0.0011947980290544225,-0.35086055837300667,-0.07035919014468234,0.3548387096774194,0.8636363636363636,0.022569444444444444,0.09950064916587528,0.8673541776145135,生技醫療,金融
11,2017-05-18,electronics,finance,3,0.25999999999999995,1.0,0.74,-0.1928571428571429,0.14571428571428569,-0.005330623760358533,0.002389873155641764,0.005188200783569075,0.027457637170287486,-0.16987565736295251,0.12490188835859928,0.3401360544217687,0.7727272727272727,-0.01077602939105602,0.046208593835991324,0.7963369034206998,電子零組件,金融
12,2017-06-08,shipping,semiconductor,3,0.24285714285714285,1.0,0.7571428571428571,-0.6314285714285713,0.39714285714285713,-0.00569262388603986,0.019363870857024734,0.02227722410378785,0.050825048956755325,-0.19423559954836078,0.04262913947717717,0.6666666666666666,0.8469387755102041,-0.0010140312372451865,0.01880192391779624,0.34982170179306177,航運,半導體
13,2017-06-09,finance,semiconductor,3,0.29714285714285715,0.9185714285714286,0.6214285714285714,-0.10142857142857142,0.1528571428571429,0.0010845439647954036,0.010668311850081325,0.008897684343098122,0.026367368948249204,-0.18660117544386745,0.08207064581041834,0.5,0.8,,,0.40849640438606044,金融,半導體
14,2017-06-26,computing,biotech,3,0.1742857142857143,0.8871428571428571,0.7128571428571429,-0.31285714285714283,0.11857142857142855,-0.0033111761228549197,0.021738983834006742,-0.0003818754282260972,0.018166128282660177,-0.18657634327690198,0.34787285674051716,0.4214876033057851,0.7419354838709677,-0.005503216510415196,0.025021377131612395,0.7405643087759586,資訊/通訊,生技醫療
15,2017-06-29,electronics,finance,3,0.3157142857142857,1.0,0.6842857142857143,-0.11857142857142855,0.44999999999999996,-0.007092196492424929,0.016124564329828228,0.011194569844124591,0.031158815713076216,-0.20898283722317046,0.2632947787898082,0.4647887323943662,1.0,-0.0019501454150681076,0.11381248342947345,0.7516735274013527,電子零組件,金融
16,2017-07-06,semiconductor,shipping,3,0.32857142857142857,0.9285714285714286,0.6000000000000001,-0.22714285714285704,0.19857142857142862,-0.008824199115997966,0.008971905421696902,-0.004701302018470299,0.03691996456225399,-0.2360069167832975,0.2919114412125402,0.5,0.8571428571428571,,,0.7363090254379728,半導體,航運
17,2017-07-19,traditional,finance,3,0.3714285714285714,0.8257142857142857,0.45428571428571435,-0.1057142857142857,-0.021428571428571352,0.009140682635289776,0.013002034730236423,0.017059660647025243,0.042067021804680915,-0.04745502595598716,0.10550685631155532,0.5877862595419847,1.0,-0.0010230515324771898,0.016069401618900105,0.6982147043009813,傳產/其他,金融
18,2017-07-27,shipping,computing,3,0.23714285714285713,0.95,0.7128571428571429,-0.3728571428571429,0.29999999999999993,-0.016122765730368527,0.00794932170744267,0.016646727150001928,0.030720032090496674,-0.4146964032954483,-0.01244675396446887,0.2857142857142857,0.7083333333333334,-0.04310312398284586,0.0024320273843145375,0.2761945892870704,航運,資訊/通訊
