event_id,signal_date,source_sector,destination_sector,ticker,reference_peak,drawdown_date,lead_trading_days,hit_20pct
2,2016-10-31,shipping,matched_control,2617,8.086067199707031,,,False
2,2016-10-31,shipping,matched_control,2640,24.57760238647461,,,False
2,2016-10-31,shipping,matched_control,2643,22.984285354614258,,,False
2,2016-10-31,shipping,matched_control,2642,19.501571655273438,,,False
2,2016-10-31,shipping,matched_control,2613,9.910969734191895,,,False
2,2016-10-31,shipping,matched_control,2611,4.59471321105957,,,False
3,2016-10-26,shipping,matched_control,2618,10.365447044372559,,,False
3,2016-10-26,shipping,matched_control,2633,15.978521347045898,2016-10-27,1.0,True
3,2016-10-26,shipping,matched_control,2610,8.056273460388184,,,False
3,2016-10-26,shipping,matched_control,2634,32.84487533569336,,,False
3,2016-10-26,shipping,matched_control,2603,10.103012084960938,,,False
3,2016-10-26,shipping,matched_control,2615,8.45129108428955,,,False
3,2016-10-26,shipping,matched_control,2609,7.404202461242676,2016-11-09,10.0,True
3,2016-10-26,shipping,matched_control,2614,13.909427642822266,2016-11-08,9.0,True
3,2016-10-26,shipping,matched_control,2641,12.215041160583496,2017-01-23,62.0,True
3,2016-10-26,shipping,matched_control,2606,14.388875961303711,,,False
3,2016-10-26,shipping,matched_control,2637,17.338010787963867,,,False
3,2016-10-26,shipping,matched_control,2605,13.142409324645996,,,False
3,2016-10-26,shipping,matched_control,2607,16.441740036010742,,,False
3,2016-10-26,shipping,matched_control,2636,11.487339973449707,,,False
3,2016-10-26,shipping,matched_control,2612,28.023147583007812,2016-10-27,1.0,True
3,2016-10-26,shipping,matched_control,2616,15.978386878967285,,,False
3,2016-10-26,shipping,matched_control,2601,6.596819877624512,,,False
3,2016-10-26,shipping,matched_control,2608,27.4633846282959,,,False
3,2016-10-26,shipping,matched_control,2640,24.80874252319336,,,False
3,2016-10-26,shipping,matched_control,2617,8.28409481048584,,,False
3,2016-10-26,shipping,matched_control,2643,22.984285354614258,,,False
3,2016-10-26,shipping,matched_control,2642,19.882463455200195,,,False
3,2016-10-26,shipping,matched_control,2613,9.910969734191895,,,False
3,2016-10-26,shipping,matched_control,2611,4.601353645324707,,,False
4,2016-11-01,electronics,matched_control,3008,2985.989013671875,,,False
4,2016-11-01,electronics,matched_control,3552,357.946533203125,2016-11-07,4.0,True
4,2016-11-01,electronics,matched_control,3324,88.56719970703125,2016-11-11,8.0,True
4,2016-11-01,electronics,matched_control,3081,272.4132385253906,2016-11-03,2.0,True
4,2016-11-01,electronics,matched_control,3673,44.386043548583984,,,False
4,2016-11-01,electronics,matched_control,3481,9.027105331420898,,,False
4,2016-11-01,electronics,matched_control,3691,353.9438781738281,2017-01-11,50.0,True
4,2016-11-01,electronics,matched_control,3045,76.54864501953125,,,False
4,2016-11-01,electronics,matched_control,3596,39.46665573120117,2016-11-03,2.0,True
4,2016-11-01,electronics,matched_control,3526,57.06707000732422,2016-11-09,6.0,True
4,2016-11-01,electronics,matched_control,3374,33.76160430908203,2016-11-03,2.0,True
4,2016-11-01,electronics,matched_control,3034,65.1184310913086,,,False
4,2016-11-01,electronics,matched_control,3665,125.56918334960938,2016-11-09,6.0,True
4,2016-11-01,electronics,matched_control,3450,69.80137634277344,,,False
4,2016-11-01,electronics,matched_control,3545,39.72004699707031,,,False
4,2016-11-01,electronics,matched_control,3005,23.376955032348633,,,False
4,2016-11-01,electronics,matched_control,3576,30.204120635986328,2017-04-17,108.0,True
4,2016-11-01,electronics,matched_control,3376,78.03667449951172,2016-11-03,2.0,True
4,2016-11-01,electronics,matched_control,3006,27.023651123046875,2016-11-09,6.0,True
4,2016-11-01,electronics,matched_control,3546,31.220619201660156,,,False
4,2016-11-01,electronics,matched_control,3548,45.01222610473633,2017-04-14,107.0,True
4,2016-11-01,electronics,matched_control,3092,20.761018753051758,,,False
4,2016-11-01,electronics,matched_control,3522,74.08826446533203,2017-04-24,113.0,True
4,2016-11-01,electronics,matched_control,3520,174.38815307617188,,,False
4,2016-11-01,electronics,matched_control,3413,52.86619186401367,,,False
4,2016-11-01,electronics,matched_control,2542,18.504608154296875,,,False
4,2016-11-01,electronics,matched_control,3044,46.96724319458008,,,False
4,2016-11-01,electronics,matched_control,3023,52.677589416503906,,,False
4,2016-11-01,electronics,matched_control,3083,38.099998474121094,,,False
4,2016-11-01,electronics,matched_control,3078,19.234355926513672,2016-11-09,6.0,True
5,2016-11-17,electronics,matched_control,3008,2886.7109375,,,False
5,2016-11-17,electronics,matched_control,3552,352.6603698730469,2016-11-18,1.0,True
5,2016-11-17,electronics,matched_control,3081,249.9593048095703,2016-11-18,1.0,True
5,2016-11-17,electronics,matched_control,3673,45.754390716552734,,,False
5,2016-11-17,electronics,matched_control,3324,81.51318359375,2017-04-14,95.0,True
5,2016-11-17,electronics,matched_control,3045,75.53699493408203,,,False
5,2016-11-17,electronics,matched_control,3481,9.027105331420898,,,False
5,2016-11-17,electronics,matched_control,3691,345.4762878417969,2017-03-21,79.0,True
5,2016-11-17,electronics,matched_control,3596,35.041603088378906,,,False
5,2016-11-17,electronics,matched_control,3526,52.11087417602539,,,False
5,2016-11-17,electronics,matched_control,3545,37.94776153564453,,,False
5,2016-11-17,electronics,matched_control,3374,29.77900505065918,,,False
5,2016-11-17,electronics,matched_control,3034,64.84823608398438,,,False
5,2016-11-17,electronics,matched_control,3665,119.60746765136719,,,False
5,2016-11-17,electronics,matched_control,3450,69.50049591064453,,,False
5,2016-11-17,electronics,matched_control,3005,23.376955032348633,,,False
5,2016-11-17,electronics,matched_control,3376,78.03667449951172,2016-11-18,1.0,True
5,2016-11-17,electronics,matched_control,3576,28.30013656616211,,,False
5,2016-11-17,electronics,matched_control,3006,25.375869750976562,,,False
5,2016-11-17,electronics,matched_control,3546,31.220619201660156,,,False
5,2016-11-17,electronics,matched_control,3548,42.441978454589844,,,False
5,2016-11-17,electronics,matched_control,3092,19.333011627197266,,,False
5,2016-11-17,electronics,matched_control,3044,46.71873474121094,,,False
5,2016-11-17,electronics,matched_control,2542,18.33309555053711,,,False
5,2016-11-17,electronics,matched_control,3520,169.40052795410156,,,False
5,2016-11-17,electronics,matched_control,3023,52.0963134765625,,,False
5,2016-11-17,electronics,matched_control,3078,17.80323028564453,,,False
5,2016-11-17,electronics,matched_control,3529,298.6026306152344,,,False
5,2016-11-17,electronics,matched_control,3522,70.34402465820312,,,False
5,2016-11-17,electronics,matched_control,3032,26.77131462097168,,,False
6,2016-12-16,electronics,matched_control,3008,2863.80029296875,,,False
6,2016-12-16,electronics,matched_control,3552,238.63099670410156,2017-04-10,70.0,True
6,2016-12-16,electronics,matched_control,3673,50.88572692871094,,,False
6,2016-12-16,electronics,matched_control,3081,237.24949645996094,,,False
6,2016-12-16,electronics,matched_control,3045,72.83924102783203,,,False
6,2016-12-16,electronics,matched_control,3406,95.97753143310547,,,False
6,2016-12-16,electronics,matched_control,3481,9.267827987670898,,,False
6,2016-12-16,electronics,matched_control,3324,79.5537338256836,2017-04-17,75.0,True
6,2016-12-16,electronics,matched_control,3691,311.1827087402344,2017-04-06,68.0,True
6,2016-12-16,electronics,matched_control,3545,37.94776153564453,,,False
6,2016-12-16,electronics,matched_control,3450,78.22567749023438,,,False
6,2016-12-16,electronics,matched_control,3596,35.51998519897461,,,False
6,2016-12-16,electronics,matched_control,3374,27.832958221435547,,,False
6,2016-12-16,electronics,matched_control,3034,59.17401885986328,,,False
6,2016-12-16,electronics,matched_control,3005,22.462923049926758,,,False
6,2016-12-16,electronics,matched_control,3665,125.19657135009766,,,False
6,2016-12-16,electronics,matched_control,3526,56.71305847167969,,,False
6,2016-12-16,electronics,matched_control,3376,63.78340530395508,,,False
6,2016-12-16,electronics,matched_control,3546,28.680633544921875,,,False
6,2016-12-16,electronics,matched_control,3576,26.223060607910156,,,False
6,2016-12-16,electronics,matched_control,3006,25.00969696044922,,,False
6,2016-12-16,electronics,matched_control,2542,18.218748092651367,,,False
6,2016-12-16,electronics,matched_control,3044,46.345977783203125,,,False
6,2016-12-16,electronics,matched_control,3548,41.848846435546875,,,False
6,2016-12-16,electronics,matched_control,3490,34.89448547363281,2017-04-21,79.0,True
6,2016-12-16,electronics,matched_control,3529,331.48443603515625,,,False
6,2016-12-16,electronics,matched_control,3532,100.40461730957031,,,False
6,2016-12-16,electronics,matched_control,3533,75.76641845703125,,,False
6,2016-12-16,electronics,matched_control,3625,22.880373001098633,,,False
6,2016-12-16,electronics,matched_control,3023,51.805686950683594,,,False
7,2016-09-05,electronics,matched_control,3008,2868.1865234375,,,False
7,2016-09-05,electronics,matched_control,3552,369.2917175292969,2016-11-03,40.0,True
7,2016-09-05,electronics,matched_control,3481,9.628912925720215,,,False
7,2016-09-05,electronics,matched_control,3673,53.70796203613281,2016-09-29,16.0,True
7,2016-09-05,electronics,matched_control,3324,89.3443374633789,2016-10-14,26.0,True
7,2016-09-05,electronics,matched_control,3081,352.9086608886719,2016-09-12,5.0,True
7,2016-09-05,electronics,matched_control,3045,78.2347412109375,,,False
7,2016-09-05,electronics,matched_control,3450,79.12828826904297,2016-11-09,44.0,True
7,2016-09-05,electronics,matched_control,3691,370.0322265625,2016-11-09,44.0,True
7,2016-09-05,electronics,matched_control,3596,43.293724060058594,2016-10-13,25.0,True
7,2016-09-05,electronics,matched_control,3034,59.71443176269531,,,False
7,2016-09-05,electronics,matched_control,3665,141.21876525878906,2016-11-02,39.0,True
7,2016-09-05,electronics,matched_control,3526,61.88166046142578,2016-10-14,26.0,True
7,2016-09-05,electronics,matched_control,2542,19.590871810913086,,,False
7,2016-09-05,electronics,matched_control,3522,96.55374145507812,2016-10-03,18.0,True
7,2016-09-05,electronics,matched_control,3548,49.29917526245117,2016-10-11,23.0,True
7,2016-09-05,electronics,matched_control,3376,82.31266021728516,2016-11-02,39.0,True
7,2016-09-05,electronics,matched_control,3092,20.70609474182129,,,False
7,2016-09-05,electronics,matched_control,3576,28.732858657836914,,,False
7,2016-09-05,electronics,matched_control,3630,21.358848571777344,2016-11-03,40.0,True
7,2016-09-05,electronics,matched_control,3443,70.07247924804688,,,False
7,2016-09-05,electronics,matched_control,3023,52.96822738647461,,,False
7,2016-09-05,electronics,matched_control,3078,18.318437576293945,,,False
7,2016-09-05,electronics,matched_control,3520,241.3645782470703,2016-09-13,6.0,True
7,2016-09-05,electronics,matched_control,3413,55.180625915527344,,,False
7,2016-09-05,electronics,matched_control,3546,27.057865142822266,2016-09-14,7.0,True
7,2016-09-05,electronics,matched_control,3017,19.355010986328125,,,False
7,2016-09-05,electronics,matched_control,3035,26.53815460205078,,,False
7,2016-09-05,electronics,matched_control,3005,17.394224166870117,,,False
7,2016-09-05,electronics,matched_control,3374,25.162803649902344,,,False
8,2016-07-28,semiconductor,matched_control,2330,138.41236877441406,,,False
8,2016-07-28,semiconductor,matched_control,2498,103.69266510009766,2016-08-29,22.0,True
8,2016-07-28,semiconductor,matched_control,2317,65.53629302978516,,,False
8,2016-07-28,semiconductor,matched_control,2454,153.7120819091797,,,False
8,2016-07-28,semiconductor,matched_control,2474,138.27569580078125,,,False
8,2016-07-28,semiconductor,matched_control,2412,82.85230255126953,,,False
8,2016-07-28,semiconductor,matched_control,2308,132.75099182128906,,,False
8,2016-07-28,semiconductor,matched_control,2409,9.497574806213379,,,False
8,2016-07-28,semiconductor,matched_control,2345,45.061744689941406,2016-11-14,74.0,True
8,2016-07-28,semiconductor,matched_control,2485,35.55568313598633,2016-11-11,73.0,True
8,2016-07-28,semiconductor,matched_control,2353,10.295586585998535,,,False
8,2016-07-28,semiconductor,matched_control,2408,28.53047752380371,,,False
8,2016-07-28,semiconductor,matched_control,2303,8.02124309539795,,,False
8,2016-07-28,semiconductor,matched_control,2379,76.9502944946289,,,False
8,2016-07-28,semiconductor,matched_control,2439,52.67681121826172,,,False
8,2016-07-28,semiconductor,matched_control,2382,38.64970397949219,,,False
8,2016-07-28,semiconductor,matched_control,2354,53.323856353759766,,,False
